TCGA	Tissue	Group	Pos	Score	IFNA1	IFNA2	IFNGR1	POLR3B	IRF3	IFNGR2	IFNE	TBK1	IFNAR1	IFNB1	TMEM173	POLR3A	IFNG	IFNAR2	IFNK	DDX58
TCGA-E3-A3E5	thca	WT	0	-624.23106	1.7262	0.0	11.1138	7.5663	10.4948	11.1973	4.7636	9.1364	11.0778	0.0	10.0617	8.3829	1.1072	8.1217	0.0	8.5959
TCGA-FS-A1ZH	skcm	WT	0	1450.42594	0.0	0.0	9.7381	7.6219	10.0169	11.9142	0.0	8.7441	11.1048	0.0	10.4782	9.1343	5.4215	9.9092	0.0	8.7579
TCGA-66-2787	lusc	WT	0	863.92193	0.0	0.0	10.81	8.3207	9.3185	10.6902	1.4427	10.2568	10.2943	0.0	8.3833	8.4036	4.7657	8.6797	0.0	8.7529
TCGA-55-8208	luad	WT	0	2493.47921	1.0225	0.0	11.5051	7.9025	10.4449	11.9721	4.3278	9.5925	11.548	0.0	10.4337	8.6106	6.0213	10.4346	1.0225	10.0705
TCGA-EA-A3HR	cesc	WT	0	-220.75403	0.0	0.0	11.936	8.4974	8.6765	10.6138	2.7892	10.0172	10.3064	0.0	9.4716	9.1984	1.2677	7.7412	0.0	9.2197
TCGA-27-1830	gbm	WT	0	460.49525	0.0	0.0	11.1074	8.3395	9.4124	10.8418	0.6048	9.2536	11.2811	0.0	8.8917	8.3161	0.0	9.2863	0.0	9.077
TCGA-BJ-A0Z2	thca	WT	0	-882.05870	0.0	0.0	10.4347	8.0325	10.6093	11.0125	0.5608	8.9279	10.6346	0.0	9.3787	8.7531	1.9451	7.1947	0.0	8.2642
TCGA-BQ-5889	kirp	WT	0	2009.59165	0.0	0.0	11.3325	7.0326	10.8367	11.3683	3.3699	9.2718	10.7015	0.0	10.0798	8.0382	3.3699	9.2272	0.0	8.86
TCGA-EL-A3ZR	thca	WT	0	-1055.67295	0.0	0.0	10.2115	7.8949	10.6891	11.1939	3.5008	8.5343	10.7072	0.0	10.0586	8.3116	0.0	7.4431	0.0	7.8949
TCGA-BL-A13I	blca	WT	0	1930.80455	0.0	0.0	11.1395	7.8351	10.7056	11.4535	0.0	9.6423	10.7047	0.0	10.4423	8.57	1.938	9.1019	0.0	7.9505
TCGA-SR-A6MZ	pcpg	WT	0	313.13210	0.0	0.0	10.1428	8.6003	10.0488	9.5873	0.0	9.938	10.2103	0.0	9.097	8.9684	2.4521	7.9005	0.0	10.0924
TCGA-EI-6512	read	WT	0	-228.93347	0.0	0.0	11.5142	8.382	10.4745	11.2354	0.0	9.8349	9.9	0.5202	9.723	9.4815	2.4174	8.4592	0.0	8.2909
TCGA-DD-A1ED	lihc	WT	0	546.05177	0.0	0.0	12.9833	8.6164	9.7407	11.59	0.0	9.5612	12.0643	0.0	8.3619	8.4888	0.6718	8.974	0.0	9.3321
TCGA-DJ-A3UO	thca	WT	0	-481.80694	0.0	0.0	10.4014	7.8159	10.934	11.8403	4.8536	8.7803	11.0587	0.7563	11.4014	8.57	0.4272	9.2237	0.0	9.1406
TCGA-ET-A39P	thca	WT	0	-470.27263	0.0	0.0	10.76	7.671	10.4212	10.9509	2.9107	8.9345	10.8516	0.0	9.4298	8.6001	0.0	8.1151	0.0	8.0227
TCGA-CV-5973	hnsc	WT	0	-47.17368	0.7339	0.0	12.186	8.0921	11.1307	12.2206	5.7912	8.8942	10.6715	0.0	8.5635	7.6577	0.0	8.5971	5.1758	9.3739
TCGA-HD-7832	hnsc	WT	0	346.74268	0.0	0.0	11.5136	8.5107	10.1874	10.8619	4.0074	9.062	10.5301	1.9283	11.0884	9.6209	3.8757	7.6678	2.7997	12.321
TCGA-C5-A1BJ	cesc	WT	0	654.09996	0.9046	0.0	11.8088	8.6984	10.2007	11.1905	5.4433	9.6136	10.4776	0.2845	9.8596	8.9975	2.0186	8.7826	0.2845	10.6748
TCGA-HT-A619	lgg	WT	0	-1373.95306	0.0	0.0	10.5634	8.5436	8.1698	9.1378	0.5387	9.1132	11.2397	0.0	7.3333	9.3922	0.5387	9.1723	0.0	8.2388
TCGA-A8-A06R	brca	WT	0	448.07154	0.0	0.0	10.72	7.8822	9.57	11.1011	1.0596	9.3154	11.2736	0.0	9.0414	8.9776	1.9603	9.1069	0.0	10.2308
TCGA-AF-2690	read	WT	0	1562.16599	0.0	0.0	11.2771	7.6406	10.0871	11.0026	0.0	9.2484	10.4446	1.7286	10.0809	8.5053	3.2219	9.0915	0.0	10.2685
TCGA-HC-7819	prad	WT	0	-1133.88573	0.0	0.0	11.3449	8.8013	9.386	11.0881	0.0	9.195	11.3807	0.0	7.1392	9.4291	0.4672	8.1476	0.0	8.8666
TCGA-BT-A0YX	blca	WT	0	446.25649	0.0	0.0	11.1823	8.922	10.0873	10.9692	3.6273	9.1478	10.7665	0.0	10.3817	9.0244	3.6273	8.7565	0.0	8.1213
TCGA-EL-A3CS	thca	WT	0	-730.47403	0.0	0.0	10.9823	7.5446	10.0518	10.4963	1.4798	8.5871	10.7224	0.7787	8.3671	8.3873	1.2817	7.0728	0.0	7.8091
TCGA-KV-A6GE	kirp	WT	0	491.62393	0.9151	0.0	10.4784	7.1704	11.1518	10.0837	5.6484	8.7019	9.2775	0.529	7.6267	7.6523	0.9151	7.741	0.0	8.4566
TCGA-EM-A22J	thca	WT	0	-533.69380	0.0	0.0	10.5742	8.1588	9.7786	9.8112	0.0	8.8552	10.63	0.4417	8.7439	8.7427	1.2827	7.3552	0.4417	8.2225
TCGA-05-4418	luad	WT	0	1233.33399	0.0	0.0	11.7391	8.239	10.6037	11.8816	0.0	9.8621	11.0406	0.0	8.8064	8.4957	4.3179	9.359	0.0	10.0524
TCGA-B0-5400	kirc	WT	0	1358.99666	0.0	0.0	11.439	7.1688	10.1088	12.3793	1.3153	9.1412	11.0829	0.0	9.2743	7.5776	3.3822	9.838	0.9944	9.9018
TCGA-IB-7889	paad	WT	0	1445.00390	0.8672	0.0	11.5031	7.6965	9.8921	12.119	4.0581	8.9526	11.2784	0.0	10.981	8.4798	2.2352	9.8638	0.0	9.1559
TCGA-69-7980	luad	WT	0	1096.92211	0.0	0.0	11.1821	7.9351	10.6997	11.123	0.0	9.3207	10.2026	0.0	10.9315	8.5978	4.8203	9.6975	0.0	10.799
TCGA-JW-A852	cesc	WT	0	247.00193	0.0	0.0	11.1189	7.0983	12.043	11.4833	4.5366	8.3199	10.5634	1.2558	10.2089	7.0156	3.3251	7.7299	0.0	10.0789
TCGA-BP-4962	kirc	WT	0	1706.81133	0.0	0.0	11.1077	7.2359	9.8691	11.1493	0.4578	9.1701	10.7565	0.0	9.7175	8.2383	5.2748	9.7318	0.0	10.0458
